
id,reference,theme
1,John 3:16,God's love and salvation
2,John 3:17,"Jesus came to save, not condemn"
3,John 1:1-5,Jesus the eternal Word and light
4,John 1:12,Children of God by faith
5,John 1:14,The Word became flesh
6,John 10:10,Abundant life in Christ
7,John 11:25-26,Jesus the resurrection and the life
8,John 14:1-3,Jesus prepares a place for us
9,John 14:6,"Jesus the way, truth, and life"
10,John 14:27,"Christ's peace, not the world's"
11,John 15:5,Abiding in the true vine
12,John 15:9-13,Love as Christ loved us
13,John 16:33,Peace in Christ amid trouble
14,John 17:3,Eternal life is knowing God
15,Romans 3:23,All have sinned
16,Romans 5:1,"Justified by faith, peace with God"
17,Romans 5:8,God's love demonstrated in the cross
18,Romans 6:23,"Wages of sin, gift of God"
19,Romans 8:1,No condemnation in Christ
20,Romans 8:14-17,Adopted as God's children
21,Romans 8:28,God works all things for good
22,Romans 8:31-32,"If God is for us, who can be against us"
23,Romans 8:35-39,Nothing separates us from God's love
24,Romans 10:9-10,Confessing Christ and believing to be saved
25,Romans 12:1-2,Living sacrifices and renewed minds
26,2 Corinthians 5:17,New creation in Christ
27,2 Corinthians 5:21,Christ made sin for our righteousness
28,Ephesians 1:3,Blessed with every spiritual blessing
29,Ephesians 2:4-5,God rich in mercy and love
30,Ephesians 2:8-10,Saved by grace for good works
31,Ephesians 3:16-19,"Strengthened with power, rooted in love"
32,Philippians 1:6,God completes the work He begins
33,Philippians 4:4-7,"Rejoice, pray, and receive God's peace"
34,Philippians 4:8-9,Think on what is true and pure
35,Colossians 1:13-14,"Delivered from darkness, forgiven in Christ"
36,Colossians 1:15-20,Christ supreme over all creation
37,Colossians 3:1-3,Set your mind on things above
38,Colossians 3:12-17,Clothe yourselves in love and peace
39,1 Peter 2:9-10,A chosen people and royal priesthood
40,1 Peter 5:6-7,Humble yourselves and cast your cares
41,1 John 1:9,Confession and God's faithful forgiveness
42,1 John 3:1,Behold the Father's great love
43,1 John 4:7-12,God is love; love one another
44,1 John 4:18-19,Perfect love casts out fear
45,Galatians 2:20,"Crucified with Christ, Christ lives in me"
46,Galatians 5:22-23,Fruit of the Spirit
47,Galatians 6:9,Do not grow weary in doing good
48,Titus 3:4-7,"Saved by mercy, not by works"
49,Hebrews 4:14-16,Approach the throne of grace with confidence
50,Hebrews 10:19-23,Hold fast the confession of hope
51,Matthew 5:3-10,Beatitudes: blessed are the humble and persecuted
52,Matthew 5:13-16,Salt of the earth and light of the world
53,Matthew 6:9-13,The Lord's Prayer
54,Matthew 6:19-21,"Treasure in heaven, not on earth"
55,Matthew 6:25-34,Do not worry; seek God's kingdom
56,Matthew 7:7-11,"Ask, seek, knock in prayer"
57,Matthew 7:24-27,Wise and foolish builders
58,Matthew 11:28-30,Rest for the weary in Christ
